"DUDLEY, TRINDLE HOUSE 5"" gauge, new",,,,,,,,,,,,,,,,,,,,,
Grid ref,SO951906,Long,-2.073632,Lat,52.513265,Elevation,575,ft,,,,,,,,,,,,,
Station no,2422,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,5.56,2.01,2.34,1.89,3.13,1.09,3.43,3.19,,,
February,,,,,,,,,,,0.71,2.42,0.37,3.15,0.36,2.53,2.77,4.11,,,
March,,,,,,,,,,,2.9,0.18,1.58,2.7,2.49,0.71,1.94,2.62,,,
April,,,,,,,,,,,2.89,3.97,3.4,0.95,2.23,3.59,2.23,3.12,,,
May,,,,,,,,,,,2.1,4.34,5.73,1.67,1.13,1.28,1.3,2.39,,,
June,,,,,,,,,,,1.58,5.04,1.2,3.12,1.11,2.88,3.02,0.66,,,
July,,,,,,,,,,,5.28,3.33,3.41,2.11,1.21,0.44,7.89,2.69,,,
August,,,,,,,,,,1.97,3.68,5.5,2.06,0.97,2.51,2.14,1.17,1.06,,,
September,,,,,,,,,,0.77,3.38,2.58,2.58,0.66,2.02,4.49,3.67,2.19,,,
October,,,,,,,,,,4.26,3.21,1.19,3.96,4.85,1.89,4.26,1.73,2.44,,,
November,,,,,,,,,,7,3.15,3.43,2.4,0.88,2.25,5.84,2.52,1.57,,,
December,,,,,,,,,,5.36,2.89,1.14,0.9,0.5,4.84,3.21,2.37,2.1,,,
Total,,,,,,,,,,,37.33,35.13,29.93,23.45,25.17,32.46,34.04,28.14,,,