WOMBOURNE-THE-BRATCH-1950s,,,,,,,,,,
Grid ref,SO868937,Long,-2.1960584,Lat,52.540994,Elevation,270,ft.,,
Station no,2317,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.39
February,,,,,,,,,,2.06
March,,,,,,,,,,1.42
April,,,,,,,,,,0.93
May,,,,,,,,,,1.32
June,,,,,,,,,,1.82
July,,,,,,,,,,3.14
August,,,,,,,,,,2.51
September,,,,,,,,,,4.71
October,,,,,,,,,,6.29
November,,,,,,,,,,4.11
December,,,,,,,,,,2.67
Total,,,,,,,,,,36.37
,,,,,,,,,,
NGR is from 1950s record and is Bratch Water Works. Altitudes match.,,,,,,,,,,
Station no. was previously used for Dudley Shavers End when it was thought to be in Staffordshire.,,,,,,,,,,
MIDAS src_id 9982 ends 1983,,,,,,,,,,