LOCH FINLAS NO. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,,Long,,Lat,,Elevation,1172,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,5.5,,,,5.75,,,6.3,6.61,8.49,11.8,6.1,8.87,7.44,6.57,10.08,7.3,15.23,2.63,7,5.09,9.47,6.47,9.93,3.2,7.18,8.45,,,
February,,9.49,,,,,,,8.16,1.41,8.89,2.3,7.92,6.41,1.85,4.71,10.08,6.96,5.56,2.81,0.4,5.17,0.01,5.98,1.1,6.71,4.14,5.92,,,
March,,2.13,,,,,,,2.66,3.48,10.09,9.59,3.57,3.85,1,1.82,4.74,7.22,4.77,2.43,4.71,1.25,3.23,3.58,2.77,2.83,4.55,2.37,,,
April,,4.75,,,,3.75,,,3.15,3.26,2.47,2.64,4.11,5.8,3.86,8.37,1.84,4.75,3.71,1.62,1.97,3.21,3.92,3.61,3.44,4.54,2.3,2.89,,,
May,,4.25,,,,1.5,,,5.05,1.96,8.41,4.2,6.37,2.92,7.29,10.91,4.97,3.86,2.02,4.58,4.02,5.94,4.11,4.26,4.91,0.59,2.26,2.39,,,
June,,4.5,,,,2.31,,,1.91,4.26,3.2,2.57,3.67,1.45,5.55,1.49,3.92,8.42,9.84,5.41,4.48,8.11,2.2,3.44,3.41,6.23,3.96,6.09,,,
July,,4.7,,,,7.18,,,5.61,1.25,5.2,4.11,6.68,6.59,7.41,2.71,4.39,6.76,7.1,7.63,5.43,6.01,6.03,7.16,3.46,3.06,8.03,7.92,,,
August,,3.65,,,,4.5,,,5.16,6.56,9.82,11.81,3.96,10.42,5.91,6.5,5.98,7.56,8.47,11.31,9.62,3.66,4.17,6.84,5.49,5.23,6.24,6.68,,,
September,,5.4,,,,3.35,,,7.91,6.62,6.52,4.04,4.03,11.41,7.63,6.07,7.25,9.13,5.53,3.45,4.7,1.81,6.46,1.15,8.08,9.63,6.1,6.62,,,
October,,6.2,,,,5.43,,,9.23,2.04,4.43,8.05,5.07,10.92,6.41,6.75,7.98,8.13,9.73,8.8,10.06,6.44,9.71,4.23,10.83,11.93,7.79,3.49,,,
November,,7.3,,,,3.7,,,9.23,4.49,7.89,5.7,8.27,4.31,6.42,1.29,7.47,6.96,12.52,9.99,8.97,9.71,7.26,3.73,3.02,5.09,4.94,1.15,,,
December,,10.5,,,,7.65,,,8.17,8.51,5.81,13,7.02,5.3,8.23,3.67,4.33,1.42,6.19,13.18,7.32,5.8,10,2.09,10.53,3.95,7.9,4.06,,,
Total,,68.37,,,,,,,72.54,50.45,81.22,79.81,66.77,78.25,69,60.86,73.03,78.47,90.67,73.84,68.68,62.2,66.57,52.54,66.97,62.99,65.39,58.03,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrounded by Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poor Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centred on Finlas Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunbartonshire nr Luss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ĀNS 32630 89630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avg computed X/37 from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comments 15"" too Low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5332,RR4430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
